chat_id,creator_id,creator_name,time,duration,menu
-209615919,92397448,Lester,2018-07-24 00:23:32.155974+08,60,0
1210392295,1210392295,🌹محمد ندیم,2020-05-20 11:37:45.119085+08,30,0
